优先级,类别,文件/模块,问题描述,建议方案,完成
P0,AI链条/性能,backend/llm/client.py:953 + :690,每次 chat_completion 和 _openrouter_model_limits 都用 async with httpx.AsyncClient(...) 创建新客户端，全程没有连接复用，HTTPS 握手 + TCP 建连重复发生。在 ReAct/Plan/DeepThink 高频调用下是最大性能税。,"在模块级建一个 lifespan 管控的共享 httpx.AsyncClient(http2=True, timeout=..., limits=Limits(max_connections=100, max_keepalive_connections=20))；app.py 启动注入、lifespan 关闭释放；所有调用复用同一 client。",是
P0,AI链条/可靠性,backend/llm/client.py 整体（1425 行单文件）,该文件一肩扛起：SSE 解析、retries、circuit breaker、OpenRouter /models 缓存（含本地落盘）、tiktoken 回退、ContextVar key 覆盖、payload max_tokens 计算、reasoning 字段 9 路径解析、错误消息正则解析。任何修改都会牵一发动全身，且单测困难。,"拆分为 backend/llm/{client.py,sse_parser.py,retry.py,circuit_breaker.py,model_limits.py,tokenizer.py,key_override.py,reasoning_extract.py}；每个文件 < 250 行；写针对性单测（尤其 SSE 解析与 reasoning 多路径合并）。",是
P0,AI链条/质量,全后端（agent/react、deepthink、paper_compose、lesson_plan、question_library 等）,_extract_first_json_object / _strip_code_fences 在 backend/agent/react/loop.py:31、backend/deepthink/service.py:44、paper_compose/* 等至少 5 处出现复制粘贴；JSON 修复与 code-fence 剥离逻辑分散且行为微差。,集中到 backend/llm/json_utils.py（已存在 backend/agent/planning/json_utils.py，提升到 llm 域），统一 strict/lenient 两种模式，所有调用方迁移；为模型回包加可观测的 parse-success 指标。,是
P0,AI链条/质量,backend/agent/react/prompts.py:9-54 REACT_CONTROLLER_SYSTEM_PROMPT 等系统提示,系统提示中英文混杂、规则与示例混在一起，不利于模型 JSON-mode 稳定性，也无法版本化或 AB。,"建立 backend/llm/prompts/ 注册表：{id, version, render, schema}；每条提示有 hash + version + 单元测试；在 generation/agentic/prompts.py 已有的 prompt_registry 基础上扩展到所有领域（chat/agent/deepthink/lesson_plan/paper_compose）。",是
P0,前端布局,frontend/src/layouts/ 与 frontend/src/components/layout/ 两套并存,"layouts/{ManusLayout,Header,HistorySidebar}.tsx + layouts/RequireAuth.tsx 是早期布局；components/layout/* 是当前实际使用的版本。router/index.tsx 引用 layouts/，但 main.tsx 走 App.tsx 走 components/layout/，router/index.tsx 是死代码。新人很可能改错文件。",删除 frontend/src/layouts/ 整个目录（确认无引用后）；保留 components/layout/* 为唯一布局源；如需保留 router/index.tsx 风格则改为引用 components/layout/。,是
P0,前端布局,frontend/src/components/layout/ManusLayout.tsx:13-32,FULLSCREEN/STUDIO/WIDE/pageManagesOwnScroll 这四个布局变体由 location.pathname.startsWith(...) 字符串散落判断，硬编码 7-8 个路由前缀。新加页面要去 4 个 if 改一遍，不接 IA。,"改为路由级配置 routes.config.ts：{path, element, layout: 'fullscreen'|'studio'|'wide'|'standard', sidebar: boolean, title}；ManusLayout 通过 useMatches() 取当前路由的 handle 元数据决定 layout 变体；Header 的 navItems 与 ManusLayout 的判断共享同一份配置。",是
P0,安全,backend/core/encryption.py:70-77 _keystream,自实现 HMAC-SHA256 keystream（counter-mode），自带 HMAC tag，整体非标准且未经第三方密码学审计；任何 IV 重用或长度估算错误都可能弱化整体保密性。next.csv 已粗提，本条强化方案细化。,直接替换为 cryptography 库：from cryptography.hazmat.primitives.ciphers.aead import AESGCM；root_key 派生用 HKDF-SHA256；存储格式改为 enc:v2:base64(salt|nonce|ciphertext|tag)；保留 enc:v1: 兼容解密，写入只用 v2；为新版本加单测覆盖 round-trip + tamper detection。,是
P0,数据库/迁移,backend/database/migrations.py 全文,项目用手写 sync_migrate_db_schema(conn) 通过 _add_col + CREATE INDEX IF NOT EXISTS 做''best-effort''迁移，无 down，无版本号，无 history；新增列拼字符串、SQLite-only PRAGMA。生产/多人协作下完全无法跨版本回滚，旧 DB 升级风险高。,引入 alembic：alembic init backend/database/alembic；把 sync_migrate_db_schema 中已有的 ALTER 拆成时间戳化迁移文件；保留 sync_migrate_db_schema 仅作首启 ensure-tables 的兜底；CI 跑 alembic upgrade head + alembic downgrade -1 验证可逆。,是
P0,数据库/隔离,backend/database/schema.py:32 PaperQuestion,PaperQuestion 没有 user_id 列，依赖 papers.user_id 通过 ForeignKey 反查；任何''按 question_id 直查 PaperQuestion''的代码都没有用户隔离，多 user 部署存在跨户读到他人题目快照的风险。,PaperQuestion 加冗余 user_id 列 + index；写入路径 save_paper 同步写 user_id；所有 select PaperQuestion 的查询强制 where user_id == 当前用户；alembic 迁移补齐历史数据 user_id。,是
P1,架构,backend/core/openai_adapter.py 整文件,独立的 FastAPI app（lifespan + routes）暴露爬虫给 OpenAI Function Calling，但当前 backend.app:app 已经是规范入口；该文件 355 行复制了 init_db / get_crawler / 路由 schema，是事实上的孤儿。新人会以为有两个 server。,确认无外部部署引用后整个删除；如确需保留 OpenAI 适配器，挂在 backend/api/integrations/openai_adapter.py 作为子路由（include_router），共用同一 app 与生命周期。,是
P1,架构,backend/api/router.py 与 backend/api/domains/ 共存,router.py 是顶层聚合，但 backend/api/domains 子目录已经存在，且 AGENTS.md 指出目标拓扑为 system/auth/workspace/generation/tasks/integrations/shared。当前路由仍按''功能''而非''domain''拆分，迁移半途。,docs/MIGRATION_PLAN.md 落实迁移计划：每个 router 列''当前位置→目标 domain''；分 PR 批次落地；CI 增加结构 lint 阻止新增到旧位置。,是
P1,架构,backend/api/middleware 与 app.py 中的内联中间件,安全 headers / 限速 / inputvalidation 三种风格混在 app.py 与 backend/api/middleware/ 之间；_SlidingWindowRateLimiter 直接定义在 app.py:319。,"所有中间件统一到 backend/api/middleware/{security_headers.py,rate_limit.py,input_validation.py,request_id.py}；create_app() 只组装；为每个中间件写最小单测。",是
P1,架构,前端布局,frontend/src/App.tsx 整体路由,"""30+ 路由全部在一层 Routes 中，lesson-plans/papers/study-archives/chat 这种天然 master-detail 全部各自实现整页，无法做''左列表 + 右详情''的现代布局。"",将相关路由改为嵌套路由：{ path: '/papers', element: <PapersLayout/>, children: [{ index: <PapersList/> }, { path: ':paperId', element: <PaperDetail/> }] }；PapersLayout 提供持久左列表 + Outlet 右详情；同样应用到 lesson-plans / study-archives / ai-generate-review。",是
P1,前端布局,frontend/src/layouts/HistorySidebar.tsx + components/layout/HistorySidebar.tsx,HistorySidebar 510 行，混合了：折叠状态 + localStorage + matchMedia + 5 个 useQuery + 排序/过滤/分组 + 标签编辑（用 window.prompt!）+ 5 个 mutation。,拆分为 <HistorySidebar>（外壳） + <ConversationList>（数据） + <TaskRail>（任务子组件） + <TagEditDialog>（用 Radix Dialog 取代 window.prompt） + useConversationFilter（hook）；让外壳本身 < 80 行。,是
P1,前端布局,frontend/src/components/layout/Header.tsx:73 navItems 仅 xl 断点显示,xl=1280px 以下整个横向 nav 直接折叠到下拉菜单，1024–1280 屏幕用户只看到 logo + 头像，对一个 10 个一级入口的工作台体验断崖。,在 lg(1024px) 提供 icon-only 横向 nav（仅图标 + tooltip，宽度可控）；xl 才显示 label；md 以下用 dropdown。本质是分两段降级而不是一次性塌陷。,是
P1,前端布局,frontend/src/components/layout/ManusLayout.tsx 缺页面标题/面包屑插槽,/papers/:id /lesson-plans/:id /study-archives/:archiveId /ai-generate/review/:sessionId/:questionId 等深路由没有面包屑，header 永远只显示 ''学习助手''。,在 ManusLayout 顶部 header 下加一行 SubHeader：根据当前路由 handle.crumb 动态渲染面包屑 + 页面 actions slot；用 useMatches() 拼接 crumbs 数组；提供 useDocumentTitle hook 让页面写一行就能更新 tab title 与面包屑末段。,是
P1,前端布局,frontend/src/pages/BlueprintPage.tsx 等大页面,BlueprintPage 37k 行 / 26 个 useState|useMemo|useCallback|useEffect；ChatPage 24k 行 / 24 个；DeepThinkPage 24k / 17。所有逻辑都堆在路由组件里。,按 frontend/src/features/<domain>/ 切分：每个特性下分 components/、hooks/、api/、store/；BlueprintPage 只剩薄壳；优先拆 BlueprintPage 的 SlotEditor/TaskTimeline/ProgressHeader、ChatPage 的 MessageBubble/InputComposer/HistoryRail。,是
P1,前端布局,frontend/src/components/layout/HistorySidebar.tsx:380 window.prompt 编辑标签,用 window.prompt 弹原生输入框，体验非常不现代；没法自动补全已有标签，没法多标签批量勾选。,改用 Radix Dialog + Combobox（cmdk 已经在依赖里）做 TagEditDialog；输入时显示已有 tagOptions 候选；保存时去重 + 限长。,是
P1,前端布局,frontend/src/components/layout/HistorySidebar.tsx:452 motion.aside 用 width 动画,sidebar 折叠/展开是 framer-motion 的 width 动画，每帧都在做布局回流，主区也在跟着抖。,移除 width animate；改为 className 切换 + transition: width；或保持 framer 但用 transform: translateX 把 rail 推到左侧（visual-only）。无须改样式风格，只换实现。,是
P1,性能/前端,frontend/src/main.tsx:13 + 全局,katex/dist/katex.min.css 在入口被无条件 import，~70KB CSS 全用户都加载，但只有 chat/deepthink/study-materials 真的渲染数学公式。,把 import 'katex/dist/katex.min.css' 移到 MarkdownRenderer 内部第一次渲染时按需加载，或改为 lazy(() => import('./MarkdownRendererWithMath'))；其它纯文本 Markdown 用轻版渲染器。,是
P1,性能/前端,frontend/src/components/MarkdownRenderer.tsx:9,remarkPlugins / rehypePlugins 数组在每次渲染都新建；ReactMarkdown 看到引用变化就重新走插件管线；流式聊天每次 token 追加都触发完整 markdown 解析。,"把 [remarkGfm, remarkMath] 与 [rehypeKatex] 提到模块级 const；用 React.memo(MarkdownRenderer, (a,b) => a.content === b.content) 包裹组件。",是
P1,性能/前端,frontend/src/main.tsx:15 vs frontend/src/components/QueryProvider.tsx,main.tsx 直接 new QueryClient({staleTime:5min})，而 components/QueryProvider.tsx 用 staleTime:30s 又封装了一份；后者目前没人引用——若有人误用就出现两个 QueryClient 缓存分裂。,删除 components/QueryProvider.tsx 或将 main.tsx 改为引用它；保持单一 QueryClient；同时把全局 staleTime 调到合理值（默认 30s，少数 dashboard query 单独设 staleTime）。,是
P1,性能/前端,frontend/src/hooks/useChat.ts:165-285,流式更新通过 setMessages(prev => prev.map(...)) 实现，每次 RAF 都要把整条 messages 数组重建一遍；50 条历史 + 流式 → O(N) 重渲染。,"把流式中的 assistant 文本拆到独立 ref + 单独 state（streamingText），最终化时才合并入 messages；或用 Map<id, Message> 做存储 + 选择器。同时把 messages 列表用 react-virtual 虚拟化（500+ 条历史时才生效）。",是
